GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EasyMatch,es.codeurjc.security,SecurityConfig,0,300,0,0,0,37,0,11,0,11
EasyMatch,es.codeurjc.security,CSRFHandlerInterceptor,13,6,3,1,3,3,2,2,0,2
EasyMatch,es.codeurjc.security,RepositoryUserDetailsService,5,44,0,2,0,8,1,3,1,2
EasyMatch,es.codeurjc.security,CSRFHandlerConfiguration,0,10,0,0,0,3,0,2,0,2
EasyMatch,es.codeurjc.model,Schedule,14,18,0,0,5,8,3,4,3,4
EasyMatch,es.codeurjc.model,ScoringType,0,15,0,0,0,3,0,1,0,1
EasyMatch,es.codeurjc.model,PlayerStats,19,100,1,5,1,30,2,16,1,14
EasyMatch,es.codeurjc.model,Sport,7,43,0,0,1,19,1,10,1,10
EasyMatch,es.codeurjc.model,User,22,155,4,0,4,61,3,33,1,33
EasyMatch,es.codeurjc.model,Match,48,204,16,16,4,61,16,32,2,30
EasyMatch,es.codeurjc.model,MatchResult,202,82,17,7,32,23,23,13,12,12
EasyMatch,es.codeurjc.model,Club,7,108,0,0,3,46,2,26,2,26
EasyMatch,es.codeurjc.model,PriceRange,20,24,0,0,7,10,4,5,4,5
EasyMatch,es.codeurjc.model,Mode,6,26,0,0,1,11,1,6,1,6
EasyMatch,es.codeurjc.security.jwt,UnauthorizedHandlerJwt,23,7,0,0,3,2,1,2,1,2
EasyMatch,es.codeurjc.security.jwt,AuthResponse,45,33,0,0,17,13,7,6,7,6
EasyMatch,es.codeurjc.security.jwt,JwtRequestFilter,0,54,0,0,0,16,0,3,0,3
EasyMatch,es.codeurjc.security.jwt,AuthResponse.Status,0,15,0,0,0,2,0,1,0,1
EasyMatch,es.codeurjc.security.jwt,TokenType,0,32,0,0,0,7,0,2,0,2
EasyMatch,es.codeurjc.security.jwt,JwtTokenProvider,41,126,6,8,7,29,5,10,1,7
EasyMatch,es.codeurjc.security.jwt,UserLoginService,50,142,0,0,11,36,1,6,1,6
EasyMatch,es.codeurjc.security.jwt,LoginRequest,15,17,0,0,5,8,2,5,2,5
EasyMatch,es.codeurjc.controller.auth,LoginController,6,37,2,4,1,7,3,5,1,4
EasyMatch,es.codeurjc.easymatch,EasyMatchApplication,5,3,0,0,2,1,1,1,1,1
EasyMatch,es.codeurjc.handler,GlobalExceptionHandler,0,23,0,0,0,7,0,2,0,2
EasyMatch,es.codeurjc.utils,ImageUtils,63,3,6,0,15,1,6,1,3,1
EasyMatch,es.codeurjc.controller.rest,ClubRestController,105,50,6,0,20,11,8,5,5,5
EasyMatch,es.codeurjc.controller.rest,JoinMatchRequest,0,10,0,0,0,4,0,3,0,3
EasyMatch,es.codeurjc.controller.rest,UserRestController,109,95,14,2,17,21,11,8,3,8
EasyMatch,es.codeurjc.controller.rest,SportRestController,84,7,6,0,14,2,7,2,4,2
EasyMatch,es.codeurjc.controller.rest,MatchRestController,44,101,4,0,8,19,4,7,2,7
EasyMatch,es.codeurjc.config,CorsConfig,0,8,0,0,0,2,0,2,0,2
EasyMatch,es.codeurjc.config,CorsConfig.new WebMvcConfigurer() {...},0,47,0,0,0,7,0,2,0,2
EasyMatch,es.codeurjc.dto,PlayerStatsDTO,0,18,0,0,0,1,0,1,0,1
EasyMatch,es.codeurjc.dto,ModeDTO,0,9,0,0,0,1,0,1,0,1
EasyMatch,es.codeurjc.dto,SportMapperImpl,87,112,14,8,26,31,12,7,3,5
EasyMatch,es.codeurjc.dto,MatchMapperImpl,251,666,40,42,69,199,30,33,3,19
EasyMatch,es.codeurjc.dto,ClubMapperImpl,256,198,32,12,71,57,26,10,8,6
EasyMatch,es.codeurjc.dto,PriceRangeDTO,0,12,0,0,0,1,0,1,0,1
EasyMatch,es.codeurjc.dto,SportDTO,0,15,0,0,0,1,0,1,0,1
EasyMatch,es.codeurjc.dto,MatchDTO,15,39,0,0,2,1,1,1,1,1
EasyMatch,es.codeurjc.dto,UserDTO,0,50,0,0,0,3,0,2,0,2
EasyMatch,es.codeurjc.dto,BasicClubDTO,0,12,0,0,0,1,0,1,0,1
EasyMatch,es.codeurjc.dto,MatchResultDTO,0,27,0,0,0,1,0,1,0,1
EasyMatch,es.codeurjc.dto,ScheduleDTO,0,9,0,0,0,1,0,1,0,1
EasyMatch,es.codeurjc.dto,BasicUserDTO,0,15,0,0,0,1,0,1,0,1
EasyMatch,es.codeurjc.dto,ClubDTO,0,36,0,0,0,1,0,1,0,1
EasyMatch,es.codeurjc.dto,ClubMapper,0,26,0,4,0,4,0,4,0,2
EasyMatch,es.codeurjc.dto,UserMapperImpl,44,257,7,17,16,75,7,12,1,6
EasyMatch,es.codeurjc.service,SportService,117,22,8,0,26,4,11,4,7,4
EasyMatch,es.codeurjc.service,ClubService,114,124,5,9,24,25,8,16,5,12
EasyMatch,es.codeurjc.service,MatchService,88,317,9,31,16,65,9,29,2,16
EasyMatch,es.codeurjc.service,DatabaseInitializer,14,930,0,0,2,163,0,4,0,4
EasyMatch,es.codeurjc.service,UserService,142,296,15,15,29,64,13,23,4,17
